chinese_,english
李莉斯,Leelith
露易丝,Louise
莉蒂亚,Lydia
玛佩尔,Mapel
玛德琳,Madeleine
玛西亚,Marcia
玛丽亚,Maria
玛丽安,Marianne
马丽娜,Marina
玛乔丽,Marjorie
玛蒂娜,Martina
梅薇思,Mayvis
玛可欣,Macasey
蒙丽莎,Monlisa
蜜雪儿,Michelle
蜜妮安,Minian
穆得莉,Mudley
米兰达,Miranda
蜜莉恩,Million
茉伊拉,Moira
莫妮卡,Monica
穆丽儿,Muriel
蜜尔娜,Mirna
娜娥迷,Naefan
娜特莉,Natelli
妮可拉,Nicola
诺维雅,Novia
妮蒂亚,Nitya
欧尔佳,Olga
奥丽芙,Olive
潘蜜拉,Pamela
潘朵拉,Pandora
菲莉帕,Philippa
菲丽丝,Phyllis
普莉玛,Prima
昆蒂娜,Quintina
瑞琪儿,Richie
丽贝卡,Rebecca
蕾佳娜,Regina
蕾娜塔,Renata
莎碧娜,Sabina
莎洛姆,Shalom
珊朵拉,Shandora
萨琳娜,Salina
希贝儿,Sibel
席梦娜,Simona
苏菲亚,Sophia
丝柏凌,Cyborin
史黛丝,Stace
苏珊娜,Susanna
西维亚,Silvia
泰贝莎,Tebesa
特丽莎,Teresita
特蕾莎,Teresa
泰丽莎,Theresa
蒂芙妮,Tiffany
翠丝特,Triste
瓦莲娜,Vallena
瓦勒莉,Valerie
瓦妮莎,Vanessa
维纳斯,Venus
维隆卡,Veronka
维尔拉,Villa
华莉丝,Wallis
芝妮雅,Zenia
依耶塔,Iyetta
班,Ben
宾,Bin
唐,Tang
盖,Gai
修,Xiu
杰,Jie
昆,Kun
亚当,Adam
亚恒,Yaheng
安迪,Andy
阿诺,Arno
阿瑟,Arthur
艾文,Aiwen
亚撒,Asa
巴德,Bud
巴洛,Barlow
巴伦,Barron
巴里,Barry
巴特,Bart
巴顿,Barton
鲍尔,Ball
贝克,Baker
班森,Banson
博格,Borg
格纳,Gna
伯尼,Bernie
伯特,Burt
伯顿,Burton
比尔,Bill
鲍伯,Bob
布兹,Booth
波文,Bowen
布德,Bude
巴克,Buck
波顿,Bolton
拜伦,Byron
西泽,Nishizawa
凯里,Carey
卡尔,Carl
凯尔,
凯希,Keshi
查德,Chad
钱宁,Channing
夏佐,Natsusa
科林,Colin
科里,Corey
科尔,Cole
戴纳,Dyna
达伦,Darren
迪夫,Diff
戴维,David
迪恩,Dean
得文,Dewen
狄克,Dick
杜鲁,Dulu
杜克,Duke
唐恩,Dunn
迪伦,Dylan
厄尔,Earle
艾德,Ed
伊登,Eden
伊莱,Eli
尤金,Eugene
尔文,Irvine
费奇,Fitch
福特,Ford
加尔,Gal
盖理,Gerry
盖文,Gavin
盖伦,Galen
吉恩,Jahan
杰夫,Jeff
乔治,George
葛兰,Gülen
哥达,Gotha
戈登,Gordon
霍尔,Hall
哈利,Harry
哈帝,Hardy
哈伦,Harlan
哈里,Harli
哈维,Harvey
海登,Hayden
海兹,Hayes
享利,Henry
海勒,Heller
霍根,Hogan
雨果,Hugo
海曼,Hyman
伊恩,Ian
艾勒,Ayl
艾凡,Evan
杰克,Jack
杰森,Jason
杰理,Jerry
杰西,Jessie
吉姆,Jim
基思,Keith
肯恩,Ken
肯特,Kent
凯文,Kevin
金姆,Kim
科克,Cork
蓝斯,Lance
劳瑞,Laurie
列夫,Lev
伦恩,Lun
伦农,Lennon
利奥,Leo
勒斯,Les
路德,Luter
卢瑟,Luther
莱尔,Lyle
林顿,Linton
林恩,Lynn
麦基,McGee
马克,Mark
马伦,Mullen
马文,Marvin
马特,Matt
马休,Matthew
穆尔,Moore
穆勒,Muller
麦克,Mike
密克,Mick
米路,Milu
门罗,Monroe
摩顿,Morton
摩西,Moses
麦伦,Myron
贝吉,Beji
培迪,Pedi
保罗,Paul
派恩,Pine
皮特,Pete
彼得,Peter
菲尔,Phil
波特,Porter
昆特,Quint
昆西,Quincy
昆顿,Quinton
雷哲,Rage
里克,Rick
鲁宾,Rubin
罗宾,Robin
洛克,Locke
罗德,Rod
罗恩,Ron
罗里,Rory
罗伊,Roy
莱安,Lean
山姆,Sam
山迪,Samdy
肖恩,Shaun
锡德,Side
赛门,Simon
史丹,Stan
塔伯,Taber
泰德,Ted
堤姆,Tim
托比,Toby
托德,Todd
汤姆,Tom
汤尼,Tony
泰勒,Taylor
泰伦,Tyron
弗农,Vernon
维克,Vic
文森,Vincent
维托,Vito
维德,Vader
华纳,Warner
韦恩,Wayne
韦伯,Weber
威尔,Will
威利,Willie
伟兹,Weitz
耶鲁,Yale
约克,York
依夫,Yifu
纳特,Nat
奈登,Nayden
尼尔,Neil
纽曼,Newman
尼克,Nick
诺亚,Noah
诺尔,Noll
诺曼,Norman
诺顿,Norton
奥玛,Omar
奥特,Otter
欧恩,Owen
艾布特,Abbott
埃布尔,Abel
艾布纳,Abner
亚岱尔,Adair
艾狄生,Addison
阿道夫,Adolf
艾伯特,Albert
阿尔杰,Alger
奥斯顿,Auston
阿尔瓦,Alva
阿尔文,Alvin
埃维斯,Evis
亚摩斯,Amos
安得烈,Andry
安德鲁,Andrew
安其罗,Anqiloy
安格斯,Angus
安东尼,Anthony
安托万,Antoine
阿奇尔,Archer
亚力士,Alex
亚尔林,Jarlin
亚尔曼,Jarman
阿诺德,Arnold
奥布里,Aubrey
艾富里,Afuri
柏得温,Baldwin
巴奈特,Barnett
巴里特,Barrett
巴特莱,Batley
巴泽尔,Bazel
比其尔,Bichl
班杰明,Benjamin
格吉尔,Gegil
毕维斯,Beavis
毕夏普,Bishop
布莱克,Black
布莱兹,Blaze
鲍里斯,Boris
柏宜斯,Bayes
布雷迪,Brady
布兰登,Brandon
布莱恩,Bryan
布鲁克,Brooke
布鲁斯,Bruce
布鲁诺,Bruno
伯骑士,Knight
巴尔克,Balk
卡尔文,Calvin
塞西尔,Cecil
契布曼,Chebman
查尔斯,Charles
切斯特,Chester
克莱尔,Cora
克劳德,Claude
柯利福,Clifford
克莱得,Clyde
考伯特,Colbert
考尔比,Colby
康拉德,Conrad
康奈尔,Cornell
柯蒂斯,Curtis
西里尔,Cyrillic
丹尼尔,Daniel
达尔西,Dulce
达内尔,Darnell
邓普斯,Demps
丹尼斯,Dennis
戴里克,Derrick
唐纳修,Donahue
唐纳德,Donald
德维特,Devitt
埃德加,Edgar
埃德蒙,Edmond
爱迪生,Edison
爱德华,Edward
埃德温,Edwin
易莱哲,Elizhe
埃利斯,Ellis
爱尔玛,Elma
埃尔顿,Elton
伊诺克,Enoch
艾利克,Eric
伊夫力,Ifli
富宾恩,Fubinen
法兰克,Frank
杰佛理,Jeffrey
贾艾斯,Jais
格雷格,Gregg
格罗佛,Grover
汉米敦,Hamilton
哈罗德,Harold
赫尔曼,Herman
霍伯特,Hobart
哈瑞斯,Harris
赫尔德,Herder
休伯特,Hubert
汉弗莱,Humphrey
艾萨克,Isaac
雅各布,Jacob
贾里德,Jared
杰弗里,Jeffry
杰勒米,Jeremy
哲罗姆,Jerome
琼纳斯,Jonas
强纳生,Jonathan
约瑟夫,Joseph
乔休尔,Joehuel
乔伊斯,
约书亚,Joshua
朱利安,Julian
贾斯汀,Justin
肯尼思,Kenneth
蓝伯特,Lambert
伦纳德,Leonard
里斯特,List
利瓦伊,Levi
陆斯恩,Lucien
麦尔肯,Malken
曼德尔,Mandel
马卡斯,Markas
马里奥,Mario
摩里斯,Morris
马克斯,Max
米契尔,Mitchell
麦尔斯,Miles
摩帝马,Modima
菲利普,Philip
普利莫,Primo
昆尼尔,Quinnier
雷契尔,Rachel
雷尔夫,Relf
伦道夫,Randolph
雷蒙德,Raymond
雷克斯,Rex
理查德,Richard
罗伯特,Robert
罗德尼,Rodney
罗纳德,Ronald
鲁道夫,Rudolph
鲁伯特,Rupert
辛普森,Simpson
撒姆尔,Samuel
撒克逊,Saxon
锡得尼,Sidney
所罗门,Solomon
史宾杜,Spindoo
史丹佛,Stanford
史丹尼,Stanney
史帝文,Steven
史帝夫,Steve
泰伦斯,Terrence
西奥多,Theodore
帝福尼,Teffany
帝摩斯,Timothy
特瑞西,Dezray
特洛伊,Troy
阿普顿,Upton
尤莱亚,Ulea
维克多,Victor
弗吉尔,Virgil
瓦尔特,Walter
温德尔,Wendell
弗纳尔,Vernal
韦尔伯,Warren
温士顿,Winston
伍德洛,Woodlow
泽维尔,Xavier
耶呼弟,Yehudi
扎克利,Zacli
纪伯伦,Gibran
奈哲尔,Niall
奈吉尔,Nigel
欧格登,Ogden
奥利佛,Oliver
奥利尔,Oriel
奥斯本,Osborne
奥斯卡,Oscar
奥斯蒙,Osmond
奥狄斯,Otis
任务相关的翻译》↓,
售卖{0}X{1}件,Sell {0} x {1} piece(s)
制作{0}X{1}件,Craft {0} x {1} piece(s)
售卖装备时累计涨价{1}次,When selling equipment，surcharge {1} time(s)
售卖装备时累计折扣{1}次,When selling equipment，discount {1} time(s)
售卖装备时累计闲聊{1}次,When selling equipment，small talk {1} time(s)
售卖装备时推销其它装备{1}次,When selling equipment，suggest {1} time(s)
卖出价值{1}新币的{0},Sell {0} worth {1} new dollar
技能名字相关的翻译》↓,
战意,War Spirit
成长,Growth
坚强,Adamancy
守护屏障,Barrier
连击,Combo Attack
刃甲,Spiked Armor/Blade Armor
校准,Adjusting
冲击,Strike
践踏,War Stomp
重击,Bash
蛮牛冲撞,Crash
不可阻挡,Unstoppable
战争咆哮,War Roar
意志护盾,Mind Shield/Zen Shield
横扫,Sweep
反击,Counter Attack
致命打击,Super Strike
坚韧体格,Iron Body
顽强成长,Strong Growth
双重重击,Double Strike
爆裂打击,Dynamic Strike
生化制剂,Biochemicals
霸体,Super Armor/Endure
战斗意志,Morale
猛击,Smash
勇气铠甲,Courage Armor
坚硬皮肤,Hardened Skin
团结之心,Unity
求生意志,Will To Live
仇恨凝视,Glare
巨力斩,Mega Strike
勇猛冲锋,Bravely Charge
有死无生,Death without life
震荡反击,Shock Counter Attack
坚守壁垒,Rampart
生命链接,Life Chain
嗜血无情,Bloodthirsty
狂野成长,Mega Growth
同归于尽,Perish Together
天神下凡,Avatar
绞杀,Strangle
破甲,Armor Break
急速攻击,Quick Attack
狂刃,Swords Dance
炫目,Flare
蓄力挥砍,Charge Attack
突袭,Assault
急速连击,Rapid Combo Attack
穿透射击,Piercing Shot
割裂,Crush
会心一击,Critical Hit
旋风,Whirlwind
弱点打击,Weakness Attack
快速攻击,Fast Attack
炫目打击,Flare Attack
撕裂伤口,Crushing Blow
瞬身突袭,Sudden Strike
疾风斩,Tempest Slash/ Wind Slash
切割,Cut
闪避突袭,Dodge attack
蜂刺,Stinger
流血,Bleed
窃取,Steal
驱散,Disperse
嗜血狂欢,Frenzy
虐杀,Torture
无情,Ruthless
追魂,Death Coil
浴血回旋,Bloody Spin
致命伤害,Deadly Bash
狂怒,Furious
收割,Chop
饮血,Bloodlust
重金悬赏,Big Reward
暗影追杀,Shadow Hunt
铁血裁决,Judgment
断罪,Conviction
利刃切割,Sharp Cutter
杀手本能,Killer instinct
精神穿刺,Mental Piercing
专注,Focus
腐蚀液体,Corrosive Liquid
致死激光,Lethal laser
分裂导弹,Split Missile
无情炮火,Artillery
静电印记,Electrostatic Mark
地面雷区,Minefield
生化波动,Biochemical Shock-Wave
饱和轰炸,Precision Bombing
沙尘暴,Sandstorm
紧急支援,Emergency Backup
致命能量,Lethal Energy
寒冰屏障,Ice Barrier
血流成河,Tides Of Blood
核弹,Nuclear Bomb
目标指引,Target Steering
热血燃烧,Passionate
地雷阵,Hexplosive Mindfield
寒冷风暴,Ice Strom
密集射击,Intensive Shooting
化学风暴,Bio-Strom
剧毒瘟疫,Toxic Plague
阳炎炸弹,Searing Boom
噩梦粉尘,Nightmare Dust
黑洞爆发,BlackHole
枪火齐射,Fierce Gunfire
重力旋涡,Gravity Spiral
血肉渴望,Flesh Desire
能量置换,Energy replacement
辐射风暴,Radiation storm
子弹倾泻,Bullet Time
绝对零度,Sheer Cold
多重斩杀,Multiple Slash
震荡冲击,Shock Wave
腐蚀酸雾,Corrosive Acid Mist
毁灭者导弹,Destroyer Missile
穿甲弹,Armor-piercing Bullet
神罚,God's Punishment
挥砍lv1,Cleaving Attack Lv1
防御姿态,Defensive Stance Lv1
挥砍lv2,Cleaving Attack Lv2
防御姿态lv2,Defensive Stance Lv2
铜墙铁壁,Iron Defense
战斗压制lv1,Combat Pressing Lv1
战斗压制lv2,Combat Pressing Lv2
金属风暴,Metal storm
鼓舞lv1,Encourage Lv1
鼓舞lv2,Encourage Lv2
战略支援,Strategic support
连击lv1,Combo Strike Lv1
精准攻击lv1,Precision attack Lv1
连击lv2,Combo Strike Lv2
精准攻击lv2,Precision attack Lv2
穿甲攻击,Armor Piercing Attack
闪电反射lv1,Lightning Evasion Lv1
闪电反射lv2,Lightning Evasion Lv2
濒死训练,Near-death training
复仇lv1,Revenge Lv1
复仇lv2,Revenge Lv2
致死打击,Lethal Attack
精神鉴定lv1,Mental Identification Lv1
战地治疗lv1,Battlefield Healing Lv1
精神鉴定lv2,Mental Identification Lv2
战地治疗lv2,Battlefield Healing Lv2
生命复苏,Revive
危险试剂lv1,Dangerous Reagent Lv1
危险试剂lv2,Dangerous Reagent Lv2
辐射研究,Radiation Research
祷告护佑lv1,Blessing Lv1
祷告护佑lv2,Blessing Lv2
救赎审判,Adjudgement
技能描述相关的翻译》↓,
坚强的战意能够提升自身30%护甲，同时降低单个敌人的10%的护甲强度，持续2个回合,Your fighting spirit gives you 30% additional armor，at the same time reduce the armor strength of a single enemy by 10% for 2 rounds
每回合回复5%已损失的生命，持续3回合,Recover 5% of lost HP every round for 3 rounds
提高自身10%的生命上限，并获得攻击力130%的护盾，持续1回合,Increase your Max HP by 10% and gain a shield of 130% attack power for 1 round
给自身释放一个攻击力强度120%的护盾,Release a shield of 120% attack power to yourself
对单个敌人进行两次连击，每次造成100%的攻击力伤害,Perform two combos on a single enemy，each causing 100% attack damage
反弹自身受到的70%的伤害给单个敌人，持续2回合,Returns 70% of the damage taken to a single foe for 2 rounds
提高自身20%命中率，70%攻击力，持续2回合,Increase your hit rate by 20% and attack power by 70% for 2 rounds
冲向单个敌人并造成攻击力120%的伤害,Charge to a single enemy and cause 120% damage
践踏地面，对前方整排的敌人造成100%攻击力的伤害,Stomp on the ground，causing 100% damage to the entire row of enemies in front of you
重击敌人，给单个敌人造成攻击力110%的伤害,Blow the enemy，causing 110% damage to a single enemy
向单个敌人撞击并造成攻击力170%的伤害，眩晕敌人1回合,Hit a single enemy and cause 170% damage，stun the enemy for 1 round
冲向单个敌人造成140%攻击力的伤害，并降低目标及目标所在前排或后排的所有敌人10%的护甲强度,Rush to a single enemy to cause 140% damage to the attack power，and reduce the armor strength of all enemies at the target location (front row or back row) by 10%.
对单个敌人发出怒喊，提升自身的30%护甲，同时降低敌人的15%的护甲强度，并造成100%攻击力的伤害,Roar at a single enemy，increase your own armor by 30%，reduce the enemy's armor strength by 15%，and cause 100% attack damage.
坚强的意志能提供200%攻击力的护盾，持续回复自身已损失的15%血量，持续2回合,A strong will can provide a shield of 200% attack power，and continue to restore 15% of your lost HP for 2 rounds
攻击前方整排的敌人，造成100%攻击力的伤害，并造成20%的流血伤害，持续2回合,Attack the entire row of enemies in front，causing 100% attack damage and 20% bleeding damage for 2 rounds
反弹自身受到的150%的伤害给的敌人，持续3回合,Reflect 150% of your taking damage to enemies for 3 rounds
对单个敌人连续进行三次攻击，每次造成100%攻击力伤害，并造成20%护甲削弱，持续2回合,Attack a single enemy three times in a row，each time causing 100% attack damage and 20% impair armor for 2 rounds
提高自身15%的生命上限，并获得攻击力200%的护盾，持续1回合,Increase your Max HP by 15% and gain a shield with 200% attack power for 1 round
每回合回复15%已损失的生命，持续2回合，并获得自身攻击力100%的护盾,Each round restores 15% of the lost HP for 2 rounds，and gains a shield of 100% attack power
连续重击敌人两次，每次给单个敌人造成攻击力140%的伤害，并减少敌人的20%的攻击力，持续2回合,Hit the enemy twice in a row，each time causing 140% damage to a single enemy and reducing the enemy’s attack power by 20% for 2 rounds
对单个敌人造成100%攻击力的伤害，并减少敌人的护甲30%持续2回合,Inflict 100% damage to a single enemy and reduce the enemy’s armor by 30% for 2 rounds
立即回复生命上限的15%，提高30%的攻击力，持续2回合,Immediately restore 15% of Max HP and increase attack power by 30% for 2 rounds
释放后，免疫所有负面效果，持续2回合,After release，immune to all debuff for 2 rounds
每回合提高自身4%的攻击力，最多提高16%,Increase your own attack power by 4% per round，up to 16%
凶猛的打击单个敌人，并造成200%攻击力的伤害，眩晕敌人1回合,Hit a single enemy fiercely，and cause 200% damage，stun the enemy for 1 round
获得100%攻击力的护盾，提高自身攻击力50%，提高自身20%防御力，持续2回合,Obtain a shield with 100% attack power，increase your attack power by 50%，and defense by 20% for 2 rounds
提高自身70%护甲，获得10%的伤害减免，持续2回合,Increase your armor by 70% and gain 10% damage reduction for 2 rounds
每有1个活着的友方英雄，提高自身10%的攻击力，10%的护甲，5%伤害减免，持续1回合,For every teammate alive，it increases your attack power by 10%，armor by 10%，and damage reduction by 5% for 1 round.
提供25%伤害减免，持续两回合,Provides 25% damage reduction for two rounds
使单个敌人承担100%的额外伤害，持续2回合,Causes a single enemy to take 100% extra damage for 2 rounds
使用巨力打击敌人，使单体敌人受到200%攻击力的伤害,Hit the enemy，causing a single enemy to suffer 200% damage
冲进敌人之中，对所有敌人造成150%攻击力的伤害,Rush into the enemy，causing 150% damage to all enemies
攻击力提升损失血量百分比的1.5倍，持续3回合,Attack power increased by 1.5 times the percentage of lost HP for 3 rounds
对前排敌人造成150%的攻击力伤害，并眩晕向单个敌人持续1回合,Inflicts 150% of the attack damage to the front-row enemy，and stuns a single enemy for 1 round
提高所有队友20%护甲，增加所有队友10%伤害减免，回复所有己方英雄10%已损失生命,Increase the armor of all teammates by 20%，the damage reduction by 10%，and restore 10% of the lost HP of all your teammates.
目标为生命最低的友方，帮其分担50%所受到的伤害，持续两回合,Share 50% of the damage taken by the friend with the lowest HP for two rounds
提高自身50%的攻击力，给敌人造成150%攻击力的伤害，并获得10%的吸血，持续2回合，如果杀死敌人，增加1回合持续时间,Increase your own attack power by 50%，cause 150% attack damage to the enemy and gain 10% lifesteal for 2 rounds. If you kill the enemy，increase the duration of 1 round.
每回合增加5%生命上限/回血，最高30%,Each round increases Max HP/recovery by 5%，up to a maximum of 30%
将自身受到的100%的所有伤害随机反弹给所有敌人，持续2回合,Randomly return 100% of all the damage you have received to all enemies for 2 rounds
解除自身所有负面效果，不受控制技能影响，不受任何伤害，持续1回合,Removal of all negative effects，immune to all control effects and damage lasts for 1 round
冲向单个敌人，对单个敌人造成110%伤害,Charge to a single enemy，causing 110% damage to a single enemy
对单体敌人造成40%护甲虚弱和70&攻击力的伤害，持续2回合,Reduce 40% armor and deal 70% of attack damage to a single enemy for 2 rounds
随机对2位敌人造成攻击力70%的伤害,Randomly cause 70% of attack damage to 2 enemies
攻击前方整排敌人，并造成50%攻击力的伤害,Attack the entire row of enemies in front and cause 50% damage
削弱单体敌人40%的攻击力，持续一回合，并造成50%攻击力的伤害,Reduce the single enemy’s attack power by 40% for one round and cause 50% attack power damage
提高自身10%暴击率，30%攻击力，持续2回合，并造成150%攻击力的伤害,Increase your critical strike rate by 10%，30% attack power，last 2 rounds，and cause 150% attack power damage
突袭到后排随机一名敌人身边，对敌人造成两次60%攻击力的伤害,Attack a random enemy 2 times from the back，causing 60% damage to the enemy each time.
对前方一名敌人攻击两次，每次造成60%攻击力的伤害,Attack the single enemy at front twice，each time causing 60% damage
提高自身攻击力30%，无视单个敌人的护甲造成30%攻击力伤害，持续2回合,Increase your own attack power by 30%，cause 30% true damage to the enemy for 2 rounds
对前排所有敌人造成60%攻击力的伤害,Deal 60% damage to all enemies in the front row
攻击力提供40%，命中提升20%，，持续2回合，对单个敌人造成200%伤害,Increase 40% attack power and hit rate by 20%，lasts for 2 rounds，also causes 200% damage to a single enemy
对单体敌人造成30%护甲虚弱，持续3回合，并造成170%攻击力的伤害,Reduce 30% armor on a single enemy for 3 rounds，and cause 170% attack damage
削弱单体敌人50%护甲，持续2回合，并造成120%攻击力的伤害,Reduce armor of a single enemy by 50% for 2 rounds and cause 120% damage
随机对2位敌人造成攻击力100%的伤害，如果不足2位，则对1位敌人连续打击2次,Randomly damage 2 enemies with 100% attack power. If there are less than 2 enemies，hit 1 enemy twice in a row
削弱单体敌人60%的攻击力，持续2回合，并造成90%攻击力的伤害,Reduce the single enemy’s attack power by 60% for 2 rounds and cause 90% attack power damage
对单个敌人造成150%攻击力的伤害，并撕裂敌人伤口，造成20%流血伤害，持续2回合,Cause 150% damage to a single enemy and tear the enemy's wounds，causing 20%​bleeding damage for 2 rounds
突袭到后排随机一名敌人身边，对敌人造成两次110%攻击力的伤害,Attack a random enemy 2 times from the back，causing 110% damage to the enemy each time.
对前方一名敌人攻击两次，每次造成100%攻击力的伤害，可以暴击,Attack an enemy in front of you twice，each time causing 100% of the attack power damage，the attack can crit
提高自身攻击力30%，无视单个敌人的护甲并造成120%攻击力伤害，持续2回合,Increase your own attack power by 30%，cause 120% true damage to the enemy for 2 rounds
对前排所有敌人造成120%攻击力的伤害，并削弱受到伤害的敌人20%的护甲持续1回合,Cause 120% attack damage to all enemies in the front row，and reduce the damaged enemy's armor by 20% for 1 round
增加自身闪避率20%，持续2个回合，并突袭前排一名敌人造成150%攻击力的伤害,Increase self evasion rate by 20%，last for 2 rounds，and attack an enemy in the front row to cause 150% damage
使用剧毒的武器攻击敌人，造成130%攻击力的伤害，同时让敌人承受40%攻击力中毒伤害伤害，持续2个回合,Use a poisonous weapon to attack the enemy，causing 130% of the attack power and at the same time make the enemy suffer 40% poisoning damage for 2 rounds
攻击敌人造成150%攻击力伤害的同时，还会撕裂敌人伤口，造成30%攻击力的流血伤害，持续3个回合,While attacking the enemy causing 150% of the attack power damage，it will also tear the enemy’s wounds，causing 30% of the attack power to bleed damage for 3 rounds
攻击敌人造成100%的攻击力伤害，还回增加50点能量，同时降低敌人命中20%持续1个回合,Attacking the enemy causes 100% of the attack damage，and restore 50 points of energy，while reducing the enemy's hit rate by 20% for 1 round
驱散单个敌人的正面状态，并造成150%攻击力伤害,Dispel the enhanced buff of a single enemy and cause 150% damage
提高自身50%的吸血，持续2个回合,Increase your lifesteal by 50% for 2 rounds
提高自身50%攻击力，并对后排一名敌人造成120%攻击力伤害，如果击杀敌人，则此技能可重新释放，一回合最多释放4次,Increase your attack power by 50%，and cause 120% attack damage to a back row enemy. If you kill the enemy，this skill can be cast again，up to 4 times in a round
对敌人造成150%攻击力的伤害，战场上每缺少一个敌人，伤害提高15%，最多提高60%，持续2个回合,Cause 150% damage to the enemy's attack power. For each missing enemy on the battlefield，the damage is increased by 15%，up to 60%，and lasts for 2 rounds.
对敌人造成150%攻击力的伤害，如果击杀敌人，则回复50点能量,Cause 150% damage to the enemy. If the enemy is killed，50 energy will be restored
对前排所有敌人造成70%的伤害，并削弱受到伤害的敌人的30%护甲，持续2个回合,Cause 70% damage to all enemies in the front row，and reduce their armor by 30% for 2 rounds
突袭至血量最低的敌人面前，造成200%攻击力伤害,Assault to the enemy with the lowest HP，causing 200% damage
每次攻击消耗自身5%的血量，提升50%攻击伤害，持续4回合,Each attack consumes 5% of its own HP and increases attack damage by 50% for 4 rounds
对血量最低的两个敌人造成150%攻击力的伤害，削弱20%的护甲，持续2个回合,Cause 150% damage to the two enemies with the lowest HP and reduce their armor by 20% for 2 rounds
攻击前方整排的敌人，每攻击到一个恢复自身已损失5%的血量，并造成100%的攻击力伤害,Attack with 100% of attack damage to the entire row of enemies in front of you，recovering 5% of your lost HP for each attack.
对生命值最低的敌人造成130%伤害,Deal 130% damage to the enemy with the lowest health
对单体敌人造成150%的伤害，并损失40%护甲,Cause 150% damage to a single enemy and reduce enemy's armor by 40%
对前方一排的敌人造成120%的伤害，造成击杀后则恢复自身10%的已损失血量,Cause 120% damage to the enemy in the front row，and restores 10% of the lost HP if it kills the enemy
猛击单体敌人造成150%的攻击力伤害，如果敌人血量在20%以下，则造成双倍伤害,Smashing a single enemy will cause 150% of the attack damage. If the enemy’s HP is below 20%，it will cause double damage.
对单体敌人造成150%的攻击力伤害，并让受伤敌人损失30%护甲，持续2回合,Inflict 150% of the attack damage to a single enemy，and cause the injured enemy to lose 30% of the armor for 2 rounds
提高自身20闪避率，20%吸血，50%攻击力，20%命中率，20%暴击率，持续2个回合,Increases 20% evasion rate，20% lifesteal，50% attack power，20% hit rate，20% crit rate，lasts 2 rounds
直接对目标造成130%攻击力的伤害,Directly cause 130% damage to the target
选择两个攻击力最高的队友，提升对方20%命中和70%攻击力，持续2个回合,Choose two teammates with the highest attack power and increase their hit rate by 20% and attack power by 70% in 2 rounds
将剧毒液体掷向单个敌人，造成120%攻击力的伤害，每回合受到10%的中毒伤害，持续3回合,Throw venom at a single enemy，causing 120% attack damage and 10% poisoning damage every round for 3 rounds
使用激光消灭敌人，对单个敌人造成140%攻击力的伤害,Use lasers to destroy enemies，causing 140% damage to a single enemy
对单个敌人发射一枚巨大的导弹，击中敌人后对敌人造成110%攻击力的伤害，对其他所有敌人造成50%攻击力的伤害,Launch a huge missile at a single enemy. After hitting the enemy，it will cause 110% damage to the enemy and 50% damage to all other enemies.
使用强大的炮火攻击敌人，对单个敌人造成120%攻击力的伤害，对其他所有敌人造成50%攻击力的伤害,Use powerful artillery to attack the enemy，causing 120% damage to a single enemy，and 50% damage to all other enemies
随机对三名敌人造成100%攻击力的伤害，并降低单个敌人20%命中率和10%的护甲,Randomly cause 100% attack damage on three enemies，and reduce one of the enemies’ 20% hit rate and 10% armor
密布的地雷对前排所有敌人造成70%无视护甲伤害,Dense mines cause 70% true damage to all enemies in the front row.
强大的生化毒雾优先针对所有后排敌人，对单个敌人造成100%攻击力的伤害,The powerful biochemical poison mist damage all enemies in the back row，causing 100% damage to each one of them.
对所有敌人进行地毯式轰炸，造成100%攻击力的伤害,Carpet bombing on all enemies，causing 100% damage
释放大范围沙尘暴，对所有敌人造成100%攻击力伤害，并造成20%攻击力削弱，持续2回合,Unleash a wide range of sandstorms，causing 100% damage to all enemies and reduce their attack by 20% for 2 rounds
选择血量最低的队友，同时恢复自身和队友40%已损失的血量,Choose the teammate with the lowest HP restore 40% of teammate's and your lost HP.
发射一束量子激光，对单体目标敌人造成120%攻击力的无视防御伤害,Launch a beam of laser to cause 120% true damage to a single target enemy
给自身和队友施加一层100%攻击力强度的寒冰铠甲，护甲存在期间增加穿戴者20%护甲和30%伤害反弹,Apply an ice armor with 100% attack strength to self and teammates，and increase the wearer's armor by 20% and reflect damage by 30% during the duration.
所有敌人没有受到流血伤害的，每回合受到70%攻击力的流血伤害，持续2回合，受到流血伤害的伤害翻倍，直至伤害结束,All enemies that have not received bleeding damage receive 70% of attack power per round of bleeding damage for 2 rounds，and the damage from bleeding is doubled until the end.
强大的核弹对所有敌人造成120%攻击力的伤害，并随机眩晕1个敌人1回合,A powerful nuclear bomb cause 120% damage to all enemies and stuns 1 enemy randomly for 1 round
对目标上指定标记，单个敌人受到120%攻击力伤害，目标所受伤害提高20%，持续2回合,Marked on the target，a single enemy receives 120% attack damage，and the target’s received damage is increased by 20% for 2 rounds
增加己方攻击力最高的3个英雄100攻击力，20%命中，持续2回合,Increase the attack power of the 3 heroes with the highest attack power by 100，hit rate 20% for 2 rounds
将地雷铺满敌方，对所有敌人造成130%攻击力伤害,Cover the enemy with mines，causing 130% damage to all enemies
对所有敌人造成100%攻击力的伤害，随机冰冻2个敌人1回合,Cause 100% damage to all enemies，freeze 2 random enemies for 1 round
调动炮火，对所有敌人造成100%攻击力伤害，并随机眩晕3个敌人1回合,Mobilize artillery fire，inflict 100% attack damage on all enemies，and stun 3 enemies randomly for 1 round
